tipo_curva;plazo;tasa;date
CCPSS;3600;7.75788;15/03/2023
CCPSS;90;7.38319;16/03/2023
CCPSS;3600;7.80221;16/03/2023
CCPSS;90;7.36860;17/03/2023
CCPSS;3600;7.68972;17/03/2023
CCPSS;90;7.29487;20/03/2023
CCPSS;3600;7.65908;20/03/2023
CCPSS;90;7.26918;21/03/2023
CCPSS;3600;7.69526;21/03/2023
CCPSS;90;7.29627;22/03/2023
CCPSS;3600;7.68791;22/03/2023
CCPSS;90;7.28686;23/03/2023
CCPSS;3600;7.58805;23/03/2023
CCPSS;90;7.29779;24/03/2023
CCPSS;3600;7.50652;24/03/2023
CCPSS;90;7.30480;27/03/2023
CCPSS;3600;7.57378;27/03/2023
CCPSS;90;7.31685;28/03/2023
CCPSS;3600;7.59283;28/03/2023
CCPSS;90;7.30009;29/03/2023
CCPSS;3600;7.55512;29/03/2023
CCPSS;90;7.30277;30/03/2023
CCPSS;3600;7.58817;30/03/2023
CCPSS;90;7.30826;31/03/2023
CCPSS;3600;7.54950;31/03/2023
CCPSS;90;7.31615;3/04/2023
CCPSS;3600;7.57704;3/04/2023
CCPSS;90;7.35140;4/04/2023
CCPSS;3600;7.53938;4/04/2023
CCPSS;90;7.35001;5/04/2023
CCPSS;3600;7.47062;5/04/2023
CCPSS;90;7.35001;6/04/2023
CCPSS;3600;7.47062;6/04/2023
CCPSS;90;7.35001;7/04/2023
CCPSS;3600;7.47062;7/04/2023
CCPSS;90;7.35678;10/04/2023
CCPSS;3600;7.52810;10/04/2023
CCPSS;90;7.35990;11/04/2023
CCPSS;3600;7.51924;11/04/2023
CCPSS;90;7.25668;12/04/2023
CCPSS;3600;7.48560;12/04/2023
CCPSS;90;7.23057;13/04/2023
CCPSS;3600;7.46301;13/04/2023
CCPSS;90;7.26959;14/04/2023
CCPSS;3600;7.46331;14/04/2023
CCPSS;90;7.32446;17/04/2023
CCPSS;3600;7.54227;17/04/2023
CCPSS;90;7.24383;18/04/2023
CCPSS;3600;7.52998;18/04/2023
CCPSS;90;7.23113;19/04/2023
CCPSS;3600;7.54054;19/04/2023
CCPSS;90;7.22692;20/04/2023
CCPSS;3600;7.50275;20/04/2023
